NOC,Year,Bronze,Gold,Silver,Ranking,Delegation,Total,Total Ponderado,Host
SUI,2024,4,1,2,49,137,7,11,0
ECU,2024,2,1,2,50,40,5,9,0
POR,2024,1,1,2,51,75,4,8,0
GRE,2024,6,1,1,52,100,8,11,0
ARG,2024,1,1,1,53,143,3,6,0
EGY,2024,1,1,1,54,157,3,6,0
TUN,2024,1,1,1,55,26,3,6,0
BOT,2024,0,1,1,56,14,2,5,0
CHI,2024,0,1,1,57,48,2,5,0
LCA,2024,0,1,1,58,4,2,5,0
UGA,2024,0,1,1,59,25,2,5,0
DOM,2024,2,1,0,60,59,3,5,0
GUA,2024,1,1,0,61,16,2,4,0
MAR,2024,1,1,0,62,61,2,4,0
DMA,2024,0,1,0,63,4,1,3,0
PAK,2024,0,1,0,64,7,1,3,0
TUR,2024,5,0,3,65,101,8,11,0
MEX,2024,2,0,3,66,108,5,8,0
ARM,2024,1,0,3,67,15,4,7,0
COL,2024,1,0,3,68,88,4,7,0
KGZ,2024,4,0,2,69,16,6,8,0
PRK,2024,4,0,2,70,14,6,8,0
LTU,2024,2,0,2,71,51,4,6,0
IND,2024,5,0,1,72,112,6,7,0
MDA,2024,3,0,1,73,26,4,5,0
KOS,2024,1,0,1,74,9,2,3,0
CYP,2024,0,0,1,75,15,1,2,0
FIJ,2024,0,0,1,76,36,1,2,0
JOR,2024,0,0,1,77,12,1,2,0
MGL,2024,0,0,1,78,32,1,2,0
PAN,2024,0,0,1,79,8,1,2,0
TJK,2024,3,0,0,80,14,3,3,0
ALB,2024,2,0,0,81,8,2,2,0
GRN,2024,2,0,0,82,6,2,2,0
MAS,2024,2,0,0,83,26,2,2,0
PUR,2024,2,0,0,84,51,2,2,0
CIV,2024,1,0,0,85,13,1,1,0
CPV,2024,1,0,0,86,7,1,1,0
EOR,2024,1,0,0,87,37,1,1,0
PER,2024,1,0,0,88,26,1,1,0
QAT,2024,1,0,0,89,13,1,1,0
SGP,2024,1,0,0,90,23,1,1,0
SVK,2024,1,0,0,91,28,1,1,0
ZAM,2024,1,0,0,92,31,1,1,0
